module,distance,message_size,average_elapsed,best_elapsed,worst_elapsed,failed_attempts,success_rate,std_deviation
BLUETOOTH,4,255,5879.279589653015,6184.029340744019,5830.850124359131,0,100.0,107.536
BLUETOOTH,4,256,0,0,inf,10,0.0,
BLUETOOTH,8,16,4315.405106544495,4484.120607376099,4277.511835098267,0,100.0,60.385
BLUETOOTH,8,32,4399.304533004761,4410.7825756073,4394.701719284058,0,100.0,4.528
BLUETOOTH,8,64,4606.975197792053,4622.120141983032,4589.394092559814,0,100.0,10.55
BLUETOOTH,8,128,5020.824313163757,5038.475751876831,5008.0413818359375,0,100.0,10.0
BLUETOOTH,8,255,5844.825792312622,5853.8758754730225,5837.289571762085,0,100.0,6.648
BLUETOOTH,16,16,4316.628837585449,4453.816175460815,4271.806478500366,0,100.0,51.04
BLUETOOTH,16,32,4400.426983833313,4426.378965377808,4386.826276779175,0,100.0,11.016
BLUETOOTH,16,64,4605.4975509643555,4621.883153915405,4589.69259262085,0,100.0,10.322
BLUETOOTH,16,128,5020.141363143921,5034.831523895264,5010.577201843262,0,100.0,7.494
BLUETOOTH,16,255,5844.373835457696,5864.306688308716,5836.287260055542,1,90.0,8.157
BLUETOOTH,32,16,4323.415756225586,4487.595319747925,4284.092664718628,0,100.0,58.739
BLUETOOTH,32,32,4402.4033308029175,4430.733442306519,4378.724813461304,0,100.0,15.761
BLUETOOTH,32,64,4608.687162399292,4626.720666885376,4599.494934082031,0,100.0,8.285
BLUETOOTH,32,128,5026.977872848511,5038.909912109375,5013.233184814453,0,100.0,7.811
BLUETOOTH,32,255,5861.589670181274,5884.533405303955,5840.270757675171,0,100.0,14.975
BLUETOOTH,64,16,4349.278950691223,4564.401149749756,4311.689138412476,0,100.0,77.078
BLUETOOTH,64,32,4416.2285804748535,4444.802761077881,4395.0629234313965,0,100.0,17.301
BLUETOOTH,64,64,4633.668613433838,4670.436143875122,4603.221416473389,0,100.0,18.508
BLUETOOTH,64,128,5059.983444213867,5097.198009490967,5026.304006576538,0,100.0,22.349
BLUETOOTH,64,255,5909.002304077148,5963.5889530181885,5864.327669143677,0,100.0,26.767
LORA,1,16,5060.962518056233,5064.844369888306,5055.2918910980225,1,75.0,5.021
LORA,1,32,5483.373463153839,5487.147808074951,5479.252338409424,0,100.0,3.308
